"no","paal_ta","paal_en","paal_te","iyal_ta","iyal_en","iyal_te","adigaaram_no","adigaaram_ta","adigaaram_en","adigaaram_te","kural_ta","varadarasan","paapaya","kural_en","en_meaning","kural_te","paal_no","iyal_no"
"11","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","2","வான்சிறப்பு","The Blessing of Rain","Vaansirappu","வான்நின்று உலகம் வழங்கி வருதலால்
தான்அமிழ்தம் என்றுணரற் பாற்று.","மழை பெய்ய உலகம் வாழ்ந்து வருவதால், மழையானது உலகத்து வாழும் உயிர்களுக்கு அமிழ்தம் என்று உணரத்தக்கதாகும்.","உரிய காலத்தில் இடைவிடாது மழை பெய்வதால்தான் உலகம் நிலைபெற்று வருகிறது; அதனால் மழையே அமிழ்தம் எனலாம்.","The world its course maintains through life that rain unfailing gives;
Thus rain is known the true ambrosial food of all that lives ","By the continuance of rain the world is preserved in existence; it is therefore worthy to be called ambrosia ","Vaanin Rulagam Vazhangi Varudhalaal
Thaanamizhdham aendruNaraR Paatru ","1","1"
"12","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","2","வான்சிறப்பு","The Blessing of Rain","Vaansirappu","துப்பார்க்குத் துப்பாய துப்பாக்கித் துப்பார்க்குத்
துப்பாய தூஉம் மழை.","உண்பவர்க்குத் தக்க உணவுப் பொருள்களை விளைவித்துத் தருவதோடு, பருகுவோர்க்குத் தானும் ஓர் உணவாக இருப்பது மழையாகும்.","நல்ல உணவுகளைச் சமைக்கவும், சமைக்கப்பட்ட உணவுகளை உண்பவர்க்கு இன்னுமோர் உணவாகவும் பயன்படுவது மழையே.","The rain makes pleasant food for eaters rise;
As food itself, thirst-quenching draught supplies ","Rain produces good food, and is itself food ","Thuppaarkkuth Thuppaaya Thuppaakkith Thuppaarkkuth
Thuppaaya Thoou Mazhai ","1","1"
"13","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","2","வான்சிறப்பு","The Blessing of Rain","Vaansirappu","விண்இன்று பொய்ப்பின் விரிநீர் வியனுலகத்து
உள்நின்று உடற்றும் பசி.","மழை பெய்யாமல் பொய்படுமானால், கடல் சூழ்ந்த அகன்ற உலகமாக இருந்தும் பசி உள்ளே நிலைத்து நின்று உயிர்களை வருத்தும்.","உரிய காலத்தே மழை பெய்யாது பொய்க்குமானால், கடல் சூழ்ந்த இப்பேருலகத்தில் வாழும் உயிர்களைப் பசி வருத்தும்.","If clouds, that promised rain, deceive, and in the sky remain,
Famine, sore torment, stalks o'er earth's vast ocean-girdled plain ","If the cloud, withholding rain, deceive (our hopes) hunger will long distress the sea-girt spacious world ","ViN indru Poippin Virineer Viyanulakaththu
uLnhin Rudatrum pasi","1","1"
"14","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","2","வான்சிறப்பு","The Blessing of Rain","Vaansirappu","ஏரின் உழாஅர் உழவர் புயல்என்னும்
வாரி வளங்குன்றிக் கால்.","மழை என்னும் வருவாய் வளம் குன்றி விட்டால், ( உணவுப் பொருள்களை உண்டாக்கும்) உழவரும் ஏர் கொண்டு உழமாட்டார்.","மழை என்னும் வருவாய் தன் வளத்தில் குறைந்தால், உழவர் ஏரால் உழவு செய்யமாட்டார்.","If clouds their wealth of waters fail on earth to pour,
The ploughers plough with oxen's sturdy team no more ","If the abundance of wealth imparting rain diminish, the labour of the plough must cease ","Erin uzhaaar uzhavar puyalennum
Vaari VaLangundrik Kaal ","1","1"
"15","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","2","வான்சிறப்பு","The Blessing of Rain","Vaansirappu","கெடுப்பதூஉம் கெட்டார்க்குச் சார்வாய்மற் றாங்கே
எடுப்பதூஉம் எல்லாம் மழை.","பெய்யாமல் வாழ்வைக் கெடுக்க வல்லதும் மழை; மழையில்லாமல் வளம் கெட்டு நொந்தவர்க்கும் துணையாய் அவ்வாறே காக்க வல்லதும் மழையாகும்.","பெய்யாமல் மக்களைக் கெடுப்பதும்; பெய்து கெட்டவரைத் திருத்துவதும் எல்லாமே மழைதான்.","'Tis rain works all: it ruin spreads, then timely aid supplies;
As, in the happy days before, it bids the ruined rise ","Rain by its absence ruins men; and by its existence restores them to fortune ","Ketuppadhooum Kettaarkkuch ChaarvaaimaR Raange
eduppadhooum ellaam Mazhai ","1","1"
"16","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","2","வான்சிறப்பு","The Blessing of Rain","Vaansirappu","விசும்பின் துளிவீழின் அல்லால்மற் றாங்கே
பசும்புல் தலைகாண்பு அரிது.","வானத்திலிருந்து மழைத்துளி வீழ்ந்தால் அல்லாமல், உலகத்தில் ஓரறிவுயிராகிய பசும்புல்லின் தலையையும் காண முடியாது.","மேகத்திலிருந்து மழைத்துளி விழாது போனால், பசும்புல்லின் நுனியைக்கூட இங்கே காண்பது அரிதாகிவிடும்.","If from the clouds no drops of rain are shed
'Tis rare to see green herb lift up its head "," If no drop falls from the clouds, not even the green blade of grass will be seen ","visumpin thuLiveezhin allaalmaR Raange
pasumpul thalaikaaN paridhu","1","1"
"17","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","2","வான்சிறப்பு","The Blessing of Rain","Vaansirappu","நெடுங்கடலும் தன்நீர்மை குன்றும் தடிந்தெழிலி
தான்நல்கா தாகி விடின்.","மேகம் கடலிலிருந்து நீரைக் கொண்டு அதனிடத்திலேயே பெய்யாமல் விடுமானால், பெரிய கடலும் தன் வளம் குன்றிப் போகும்.","பெய்யும் இயல்பிலிருந்து மாறி மேகம் பெய்யாது போனால், நீண்ட கடல் கூட வற்றிப் போகும்.","If clouds restrain their gifts and grant no rain,
The treasures fail in ocean's wide domain ","Even the wealth of the wide sea will be diminished, if the cloud that has drawn (its waters) up gives them not back again (in rain) ","nedungatalum thanneermai kundrum thatindhezhili
thaannalkaa thaaki vitin ","1","1"
"18","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","2","வான்சிறப்பு","The Blessing of Rain","Vaansirappu","சிறப்பொடு பூசனை செல்லாது வானம்
வறக்குமேல் வானோர்க்கும் ஈண்டு.","மழை பெய்யாமல் போகுமானால் இவ்வுலகத்தில் வானோர்க்காக நடைபெறும் திருவிழாவும் நடைபெறாது; நாள் வழிபாடும் நடைபெறாது.","மழை பொய்த்துப் போனால் தெய்வத்திற்குத் தினமும் நடக்கும் பூசனையும் நடக்காது; ஆண்டுதோறும் கொண்டாடப்படும் திருவிழாவும் நடைபெறாது.","If heaven grow dry, with feast and offering never more,
Will men on earth the heavenly ones adore ","If the heaven dry up, neither yearly festivals, nor daily worship will be offered in this world, to the celestials ","siRappodu poosanai sellaadhu vaanam
vaRakkumael Vaanoarkkum iiNdu","1","1"
"19","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","2","வான்சிறப்பு","The Blessing of Rain","Vaansirappu","தானம் தவம்இரண்டும் தங்கா வியன்உலகம்
வானம் வழங்கா தெனின்.","மழை பெய்யவில்லையானால், இந்த பெரிய உலகத்தில் பிறர் பொருட்டு செய்யும் தானமும், தம் பொருட்டு செய்யும் தவமும் இல்லையாகும்.","மழை பொய்த்துப் போனால், விரிந்த இவ்வுலகத்தில் பிறர்க்குத் தரும் தானம் இராது; தன்னை உயர்த்தும் தவமும் இராது.","If heaven its watery treasures ceases to dispense,
Through the wide world cease gifts, and deeds of 'penitence' ","If rain fall not, penance and alms-deeds will not dwell within this spacious world ","thaanam thavamiraNdum thangaa viyanulagam
vaanam vazhangaa thenin ","1","1"
"20","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","2","வான்சிறப்பு","The Blessing of Rain","Vaansirappu","நீர்இன்று அமையாது உலகெனின் யார்யார்க்கும்
வான்இன்று அமையாது ஒழுக்கு.","எப்படிப்பட்டவர்க்கும் நீர் இல்லாமல் உலக வாழ்க்கை நடைபெறாது என்றால், மழை இல்லையானால் ஒழுக்கமும் நிலைபெறாமல் போகும்.","எத்தனை பெரியவரானாலும் நீர் இல்லாமல் வாழமுடியாது; அந்த நீரோ மழை இல்லாமல் கிடைக்காது.","When water fails, functions of nature cease, you say;
Thus when rain fails, no men can walk in 'duty's ordered way' ","If it be said that the duties of life cannot be discharged by any person without water, so without rain there cannot be the flowing of water ","neerindru amaiyaadhu ulakenin yaaryaarkkum
vaanindru amaiyaadhu ozhukku ","1","1"
"21","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","3","நீத்தார் பெருமை","The Greatness of Ascetics","Neeththaar Perumai","ஒழுக்கத்து நீத்தார் பெருமை விழுப்பத்து
வேண்டும் பனுவல் துணிவு.","ஒழுக்கத்தில் நிலைத்து நின்று பற்று விட்டவர்களின் பெருமையைச் சிறந்ததாக போற்றி கூறுவதே நூல்களின் துணிவாகும்.","தமக்குரிய ஒழுக்கத்தில் வாழ்ந்து, ஆசைகளை அறுத்து, உயர்ந்த மேன்மக்களின் பெருமையே, சிறந்தனவற்றுள் சிறந்தது என்று நூல்கள் சொல்கின்றன.","The settled rule of every code requires, as highest good,
Their greatness who, renouncing all, true to their rule have stood ","The end and aim of all treatise is to extol beyond all other excellence, the greatness of those who, while abiding in the rule of conduct peculiar to their state, have abandoned all desire ","ozhukkaththu neeththaar perumai vizhuppaththu
vendum panuval thuNivu","1","1"
"22","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","3","நீத்தார் பெருமை","The Greatness of Ascetics","Neeththaar Perumai","துறந்தார் பெருமை துணைக்கூறின் வையத்து
இறந்தாரை எண்ணிக்கொண் டற்று.","பற்றுக்களைத் துறந்தவர்களின் பெருமையை அளந்து கூறுதல், உலகத்தில் இதுவரை பிறந்து இறந்தவர்களை கணக்கிடுவதைப்போன்றது.","ஆசைகளை விட்டு விலகியவரின் பெருமைக்கு, எண்ணிக்கையால் அளவு கூறுவது, இந்த உலகத்தில் இறந்து போனவர்களின் எண்ணிக்கையை எல்லாம் எண்ணுவது போலாகும்.","As counting those that from the earth have passed away,
'Tis vain attempt the might of holy men to say ","To describe the measure of the greatness of those who have forsaken the two-fold desires, is like counting the dead ","thuRandhaar perumai thuNaikkooRin vaiyaththu
iRandhaarai eNNikkoN tatru ","1","1"
"23","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","3","நீத்தார் பெருமை","The Greatness of Ascetics","Neeththaar Perumai","இருமை வகைதெரிந்து ஈண்டுஅறம் பூண்டார்
பெருமை பிறங்கிற்று உலகு.","பிறப்பு வீடு என்பன போல் இரண்டிரண்டாக உள்ளவைகளின் கூறுபாடுகளை ஆராய்ந்தறிந்து அறத்தை மேற்கொண்டவரின் பெருமையே உலகத்தில் உயர்ந்தது.","இம்மையின் துன்பத்தையும் மறுமையின் இன்பத்தையும் அறிந்து, மெய் உணர்ந்து, ஆசைகள் அறுத்து எறியும் அறத்தைச்செய்தவரின் பெருமையே, இவ்வுலகில் உயர்ந்து விளங்குகிறது.","Their greatness earth transcends, who, way of both worlds weighed,
In this world take their stand, in virtue's robe arrayed ","The greatness of those who have discovered the properties of both states of being, and renounced the world, shines forth on earth (beyond all others) ","irumai vakaidherinh theeNdaRam pooNdaar
perumai piRangitru ulagu","1","1"
"24","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","3","நீத்தார் பெருமை","The Greatness of Ascetics","Neeththaar Perumai","உரனென்னும் தோட்டியான் ஓரைந்தும் காப்பான்
வரனென்னும் வைப்பிற்கோர் வித்தது.","அறிவு என்னும் கருவியினால் ஐம்பொறிகளாகிய யானைகளை அடக்கி காக்க வல்லவன், மேலான வீட்டிற்கு விதை போன்றவன்.","மெய், வாய்,கண், மூக்கு, செவி என்னும் ஐந்து யானைகளும் தத்தம் புலன்கள் ஆகிய ஊறு, சுவை, ஒளி,
நாற்றம், ஓசை ஆகியவற்றின் மேல் செல்லாமல், அவற்றை மன உறுதி என்னும் அங்குசத்தால் காப்பவன் எல்லாவற்றிலும் சிறந்ததாகிய வீட்டுலகிற்கு ஒருவிதை ஆவான்.","He, who with firmness, curb the five restrains,
Is seed for soil of yonder happy plains ","He who guides his five senses by the hook of wisdom will be a seed in the world of heaven ","uranennum thoettiyaan Oraindhum kaappaan
varanennum vaippirkoer viththu.","1","1"
"25","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","3","நீத்தார் பெருமை","The Greatness of Ascetics","Neeththaar Perumai","ஐந்தவித்தான் ஆற்றல் அகல்விசும்பு ளார்கோமான்
இந்திரனே சாலுங் கரி.","ஐந்து புலன்களாலாகும் ஆசைகளை ஒழித்தவனுடைய வல்லமைக்கு, வானுலகத்தாரின் தலைவனாகிய இந்திரனே போதுமான சான்று ஆவான்.","அகன்ற வானத்து வாழ்பவரின் இறைவனாகிய இந்திரனே, புலன்வழிப் பெருகும் ஆசை ஐந்தையும் அறுத்தவனின்வலிமைக்குத் தகுந்த சான்று ஆவான்.","Their might who have destroyed 'the five', shall soothly tell
Indra, the lord of those in heaven's wide realms that dwell ","Indra, the king of the inhabitants of the spacious heaven, is himself, a sufficient proof of the strength of him who has subdued his five senses ","aindhaviththaan aatral akalvisumpu Laarkoemaan
indhirane saalunG kari ","1","1"
"26","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","3","நீத்தார் பெருமை","The Greatness of Ascetics","Neeththaar Perumai","செயற்கரிய செய்வார் பெரியர் சிறியர்
செயற்கரிய செய்கலா தார்.","செய்வதற்கு அருமையான செயல்களை செய்ய வல்லவரே பெரியோர். செய்வதற்கு அரிய செயல்களைச் செய்யமாட்டாதவர் சிறியோர்.","பிறர் செய்வதற்கு முடியாத செயல்களைச் செய்பவரே மேன்மக்கள்; செய்ய முடியாதவரோ சிறியவரே.","Things hard in the doing will great men do;
Things hard in the doing the mean eschew ","The great will do those things which is difficult to be done; but the mean cannot do them ","seyaRkariya seyvaar periyar siRiyar
seyaRkariya seykalaa thaar","1","1"
"27","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","3","நீத்தார் பெருமை","The Greatness of Ascetics","Neeththaar Perumai","சுவைஒளி ஊறுஓசை நாற்றமென ஐந்தின்
வகைதெரிவான் கட்டே உலகு.","சுவை, ஒளி, ஊறு, ஓசை, நாற்றம் என்று சொல்லப்படும் ஐந்தின் வகைகளையும் ஆராய்ந்து அறிய வல்லவனுடைய அறிவில் உள்ளது உலகம்.","சுவை, ஒளி, ஊறு, ஓசை, நாற்றம் என்று கூறப்படும் ஐந்து புலன்களின் வழிப் பிறக்கும் ஆசைகளை அறுத்து எறிபவனின் வசப்பட்டதே இவ்வுலகம்.","Taste, light, touch, sound, and smell: who knows the way
Of all the five,- the world submissive owns his sway","The world is within the knowledge of him who knows the properties of taste, sight, touch, hearing and smell ","suvaioLi ooRuosai naatramena aindhin
vagaidherivaan katte ulagu","1","1"
"28","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","3","நீத்தார் பெருமை","The Greatness of Ascetics","Neeththaar Perumai","நிறைமொழி மாந்தர் பெருமை நிலத்து
மறைமொழி காட்டி விடும்.","பயன் நிறைந்த மொழிகளில் வல்ல சான்றோரின் பெருமையை, உலகத்தில் அழியாமல் விளங்கும் அவர்களுடைய மறைமொழிகளே காட்டிவிடும்.","நிறைவான வாக்குப் பெருமை உடைய மேன் மக்களின் உயர்வை, அவர்கள் இவ்வுலகில் சொன்ன மந்திரச் சொற்களே அடையாளம் காட்டிவிடும்.","The might of men whose word is never vain,
The 'secret word' shall to the earth proclaim ","The hidden words of the men whose words are full of effect, will shew their greatness to the world ","NiRaimozhi maandhar perumai nilaththu
maRaimozhi kaatti vidum","1","1"
"29","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","3","நீத்தார் பெருமை","The Greatness of Ascetics","Neeththaar Perumai","குணமென்னும் குன்றேறி நின்றார் வெகுளி
கணமேயும் காத்தல் அரிது.","நல்ல பண்புகளாகிய மலையின்மேல் ஏறி நின்ற பெரியோர், ஒரு கணப்பொழுதே சினம் கொள்வார் ஆயினும் அதிலிருந்து ஒருவரைக் காத்தல் அரிதாகும்.","நற்குணங்களாம் சிறுமலை மீது ஏறி நின்ற அம் மேன்மக்கள், தமக்குள் ஒரு கணப்பொழுதும் கோபத்தைக் கொண்டிருப்பது கடினம்.","The wrath 'tis hard e'en for an instant to endure,
Of those who virtue's hill have scaled, and stand secure ","The anger of those who have ascended the mountain of goodness, though it continue but for a moment, cannot be resisted ","kuNamennum kundraeRi nindraar vekuLi
kaNamaeyum kaaththal aridhu ","1","1"
"30","அறத்துப்பால்","Righteousness","Arathuppal","பாயிரவியல்","Prologue","Paayiraviyal","3","நீத்தார் பெருமை","The Greatness of Ascetics","Neeththaar Perumai","அந்தணர் என்போர் அறவோர்மற் றெவ்வுயிர்க்கும்
செந்தண்மை பூண்டொழுக லான்.","எல்லா உயிர்களிடத்திலும் செம்மையான அருளை மேற்கொண்டு ஒழுகுவதால், அறவோரே அந்தணர் எனப்படுவோர் ஆவர்.","எல்லா உயிர்களிடத்திலும் இரக்கம் கொண்டு வாழ்பவரே அறவோர்; அவரே அந்தணர்.","Towards all that breathe, with seemly graciousness adorned they live;
And thus to virtue's sons the name of 'Anthanar' men give ","The virtuous are truly called Anthanar; because in their conduct towards all creatures they are clothed in kindness ","andhaNar enboar aRavormaR Revvuyirkkum
sendhaNmai poondozhuga laan","1","1"
